"Var1","Var2","r","p","Significance"
"CD107a-Granzyme B+Perforin-","CD56dimCD16+/CD57",-0.12,0.44,""
"CD107a-Granzyme B-Perforin+","CD56dimCD16+/CD57",-0.13,0.43,""
"NKG2A+NKG2C-NKG2D+","CD56dimCD16+/CD57",0.03,0.85,""
"NKG2A","MIP-1B",0.23,0.14,""
"NKG2C","MIP-1B",0.25,0.12,""
"NKG2D","MIP-1B",0.07,0.65,""
"NKp30","MIP-1B",-0.03,0.84,""
"Perforin","MIP-1B",-0.06,0.7,""
"Siglec-7","MIP-1B",-0.29,0.07,""
"TIGIT","MIP-1B",0.35,0.027,"*"
"TNFa","MIP-1B",0.51,0.00068,"***"
"CD107a-","MIP-1B",-0.83,3.1e-11,"***"
"Granzyme B-","MIP-1B",0.51,0.00066,"***"
"NKG2A-","MIP-1B",-0.23,0.14,""
"NKG2C-","MIP-1B",-0.25,0.12,""
"NKG2D-","MIP-1B",-0.07,0.66,""
"Perforin-","MIP-1B",0.03,0.84,""
"CD107a+Granzyme B+Perforin+","MIP-1B",0.83,2.4e-11,"***"
"CD107a-Granzyme B+Perforin+","MIP-1B",-0.82,8.5e-11,"***"
"CD107a-Granzyme B+Perforin-","MIP-1B",-0.06,0.72,""
"CD107a-Granzyme B-Perforin+","MIP-1B",0.54,0.00026,"***"
"NKG2A+NKG2C-NKG2D+","MIP-1B",0.23,0.15,""
"NKG2C","NKG2A",-0.16,0.32,""
"NKG2D","NKG2A",0.57,8.5e-05,"***"
"NKp30","NKG2A",-0.15,0.36,""
"Perforin","NKG2A",0.32,0.041,"*"
"Siglec-7","NKG2A",0.37,0.018,"*"
"TIGIT","NKG2A",0.01,0.95,""
"TNFa","NKG2A",0.41,0.0083,"**"
"CD107a-","NKG2A",-0.14,0.39,""
"Granzyme B-","NKG2A",0.12,0.44,""
"NKG2A-","NKG2A",-1,0,"***"
"NKG2C-","NKG2A",0.16,0.32,""
"NKG2D-","NKG2A",-0.58,8.1e-05,"***"
"Perforin-","NKG2A",-0.37,0.019,"*"
"CD107a+Granzyme B+Perforin+","NKG2A",0.18,0.26,""
"CD107a-Granzyme B+Perforin+","NKG2A",-0.13,0.43,""
"CD107a-Granzyme B+Perforin-","NKG2A",-0.32,0.041,"*"
"CD107a-Granzyme B-Perforin+","NKG2A",0.13,0.42,""
"NKG2A+NKG2C-NKG2D+","NKG2A",1,0,"***"
"NKG2D","NKG2C",-0.09,0.56,""
"NKp30","NKG2C",-0.18,0.26,""
"Perforin","NKG2C",-0.29,0.07,""
"Siglec-7","NKG2C",-0.33,0.038,"*"
"TIGIT","NKG2C",-0.12,0.45,""
"TNFa","NKG2C",0.35,0.023,"*"
"CD107a-","NKG2C",-0.27,0.086,""
"Granzyme B-","NKG2C",-0.05,0.73,""
"NKG2A-","NKG2C",0.16,0.32,""
"NKG2C-","NKG2C",-1,0,"***"
"NKG2D-","NKG2C",0.09,0.59,""
"Perforin-","NKG2C",0.3,0.054,""
"CD107a+Granzyme B+Perforin+","NKG2C",0.25,0.11,""
"CD107a-Granzyme B+Perforin+","NKG2C",-0.25,0.11,""
"CD107a-Granzyme B+Perforin-","NKG2C",0.22,0.17,""
"CD107a-Granzyme B-Perforin+","NKG2C",-0.05,0.78,""
"NKG2A+NKG2C-NKG2D+","NKG2C",-0.19,0.24,""
"NKp30","NKG2D",-0.24,0.13,""
"Perforin","NKG2D",0.71,2.5e-07,"***"
"Siglec-7","NKG2D",0.32,0.044,"*"
"TIGIT","NKG2D",-0.26,0.1,""
"TNFa","NKG2D",0.22,0.17,""
"CD107a-","NKG2D",0.01,0.95,""
"Granzyme B-","NKG2D",0.03,0.86,""
"NKG2A-","NKG2D",-0.58,8.1e-05,"***"
"NKG2C-","NKG2D",0.09,0.56,""
"NKG2D-","NKG2D",-1,0,"***"
"Perforin-","NKG2D",-0.72,1.4e-07,"***"
"CD107a+Granzyme B+Perforin+","NKG2D",0.07,0.66,""
"CD107a-Granzyme B+Perforin+","NKG2D",0.05,0.76,""
"CD107a-Granzyme B+Perforin-","NKG2D",-0.77,5.7e-09,"***"
"CD107a-Granzyme B-Perforin+","NKG2D",0.09,0.56,""
"NKG2A+NKG2C-NKG2D+","NKG2D",0.59,4.9e-05,"***"
"Perforin","NKp30",-0.03,0.85,""
"Siglec-7","NKp30",0.3,0.053,""
"TIGIT","NKp30",0.48,0.0014,"**"
"TNFa","NKp30",-0.08,0.61,""
"CD107a-","NKp30",-0.06,0.69,""
"Granzyme B-","NKp30",0.18,0.27,""
"NKG2A-","NKp30",0.15,0.35,""
"NKG2C-","NKp30",0.18,0.26,""
"NKG2D-","NKp30",0.24,0.13,""
"Perforin-","NKp30",0.04,0.81,""
"CD107a+Granzyme B+Perforin+","NKp30",0.06,0.71,""
"CD107a-Granzyme B+Perforin+","NKp30",-0.09,0.57,""
"CD107a-Granzyme B+Perforin-","NKp30",0.01,0.93,""
"CD107a-Granzyme B-Perforin+","NKp30",0.22,0.18,""
"NKG2A+NKG2C-NKG2D+","NKp30",-0.15,0.35,""
"Siglec-7","Perforin",0.32,0.045,"*"
"TIGIT","Perforin",-0.11,0.49,""
"TNFa","Perforin",0.07,0.67,""
"CD107a-","Perforin",0.25,0.12,""
"Granzyme B-","Perforin",-0.14,0.37,""
"NKG2A-","Perforin",-0.32,0.04,"*"
"NKG2C-","Perforin",0.29,0.07,""
"NKG2D-","Perforin",-0.71,2.5e-07,"***"
"Perforin-","Perforin",-0.98,0,"***"
"CD107a+Granzyme B+Perforin+","Perforin",-0.14,0.39,""
"CD107a-Granzyme B+Perforin+","Perforin",0.31,0.051,""
"CD107a-Granzyme B+Perforin-","Perforin",-0.87,1.2e-13,"***"
"CD107a-Granzyme B-Perforin+","Perforin",-0.06,0.72,""
"NKG2A+NKG2C-NKG2D+","Perforin",0.34,0.032,"*"
"TIGIT","Siglec-7",0.15,0.36,""
"TNFa","Siglec-7",0.05,0.75,""
"CD107a-","Siglec-7",0.17,0.28,""
"Granzyme B-","Siglec-7",0.08,0.61,""
"NKG2A-","Siglec-7",-0.37,0.019,"*"
"NKG2C-","Siglec-7",0.32,0.038,"*"
"NKG2D-","Siglec-7",-0.32,0.044,"*"
"Perforin-","Siglec-7",-0.31,0.05,""
"CD107a+Granzyme B+Perforin+","Siglec-7",-0.15,0.35,""
"CD107a-Granzyme B+Perforin+","Siglec-7",0.17,0.29,""
"CD107a-Granzyme B+Perforin-","Siglec-7",-0.31,0.047,"*"
"CD107a-Granzyme B-Perforin+","Siglec-7",0.04,0.81,""
"NKG2A+NKG2C-NKG2D+","Siglec-7",0.36,0.021,"*"
"TNFa","TIGIT",-0.09,0.56,""
"CD107a-","TIGIT",-0.4,0.0089,"**"
"Granzyme B-","TIGIT",0.34,0.03,"*"
"NKG2A-","TIGIT",-0.01,0.96,""
"NKG2C-","TIGIT",0.12,0.45,""
"NKG2D-","TIGIT",0.26,0.097,""
"Perforin-","TIGIT",0.1,0.53,""
"CD107a+Granzyme B+Perforin+","TIGIT",0.39,0.012,"*"
"CD107a-Granzyme B+Perforin+","TIGIT",-0.42,0.0067,"**"
"CD107a-Granzyme B+Perforin-","TIGIT",0.06,0.72,""
"CD107a-Granzyme B-Perforin+","TIGIT",0.33,0.033,"*"
"NKG2A+NKG2C-NKG2D+","TIGIT",0.01,0.95,""
"CD107a-","TNFa",-0.44,0.0039,"**"
"Granzyme B-","TNFa",0.34,0.031,"*"
"NKG2A-","TNFa",-0.41,0.0084,"**"
"NKG2C-","TNFa",-0.35,0.023,"*"
"NKG2D-","TNFa",-0.22,0.17,""
"Perforin-","TNFa",-0.08,0.64,""
"CD107a+Granzyme B+Perforin+","TNFa",0.45,0.0029,"**"
"CD107a-Granzyme B+Perforin+","TNFa",-0.44,0.0038,"**"
"CD107a-Granzyme B+Perforin-","TNFa",-0.13,0.43,""
"CD107a-Granzyme B-Perforin+","TNFa",0.34,0.027,"*"
"NKG2A+NKG2C-NKG2D+","TNFa",0.38,0.014,"*"
"Granzyme B-","CD107a-",-0.55,0.00018,"***"
"NKG2A-","CD107a-",0.14,0.39,""
"NKG2C-","CD107a-",0.27,0.086,""
"NKG2D-","CD107a-",-0.01,0.94,""
"Perforin-","CD107a-",-0.22,0.16,""
"CD107a+Granzyme B+Perforin+","CD107a-",-0.99,0,"***"
"CD107a-Granzyme B+Perforin+","CD107a-",0.99,0,"***"
"CD107a-Granzyme B+Perforin-","CD107a-",-0.02,0.89,""
"CD107a-Granzyme B-Perforin+","CD107a-",-0.53,0.00032,"***"
"NKG2A+NKG2C-NKG2D+","CD107a-",-0.13,0.43,""
"NKG2A-","Granzyme B-",-0.12,0.44,""
"NKG2C-","Granzyme B-",0.05,0.73,""
"NKG2D-","Granzyme B-",-0.02,0.88,""
"Perforin-","Granzyme B-",0.08,0.62,""
"CD107a+Granzyme B+Perforin+","Granzyme B-",0.5,0.00093,"***"
"CD107a-Granzyme B+Perforin+","Granzyme B-",-0.64,7.1e-06,"***"
"CD107a-Granzyme B+Perforin-","Granzyme B-",-0.13,0.41,""
"CD107a-Granzyme B-Perforin+","Granzyme B-",0.94,0,"***"
"NKG2A+NKG2C-NKG2D+","Granzyme B-",0.12,0.44,""
"NKG2C-","NKG2A-",-0.16,0.32,""
"NKG2D-","NKG2A-",0.58,7.7e-05,"***"
"Perforin-","NKG2A-",0.37,0.018,"*"
"CD107a+Granzyme B+Perforin+","NKG2A-",-0.18,0.27,""
"CD107a-Granzyme B+Perforin+","NKG2A-",0.13,0.44,""
"CD107a-Granzyme B+Perforin-","NKG2A-",0.32,0.04,"*"
"CD107a-Granzyme B-Perforin+","NKG2A-",-0.13,0.42,""
"NKG2A+NKG2C-NKG2D+","NKG2A-",-1,0,"***"
"NKG2D-","NKG2C-",-0.09,0.59,""
"Perforin-","NKG2C-",-0.3,0.054,""
"CD107a+Granzyme B+Perforin+","NKG2C-",-0.25,0.11,""
"CD107a-Granzyme B+Perforin+","NKG2C-",0.25,0.11,""
"CD107a-Granzyme B+Perforin-","NKG2C-",-0.22,0.17,""
"CD107a-Granzyme B-Perforin+","NKG2C-",0.05,0.78,""
"NKG2A+NKG2C-NKG2D+","NKG2C-",0.19,0.24,""
"Perforin-","NKG2D-",0.72,1.4e-07,"***"
"CD107a+Granzyme B+Perforin+","NKG2D-",-0.07,0.67,""
"CD107a-Granzyme B+Perforin+","NKG2D-",-0.05,0.75,""
"CD107a-Granzyme B+Perforin-","NKG2D-",0.76,6.6e-09,"***"
"CD107a-Granzyme B-Perforin+","NKG2D-",-0.09,0.58,""
"NKG2A+NKG2C-NKG2D+","NKG2D-",-0.59,4.7e-05,"***"
"CD107a+Granzyme B+Perforin+","Perforin-",0.12,0.45,""
"CD107a-Granzyme B+Perforin+","Perforin-",-0.27,0.084,""
"CD107a-Granzyme B+Perforin-","Perforin-",0.85,1.3e-12,"***"
"CD107a-Granzyme B-Perforin+","Perforin-",-0.02,0.91,""
"NKG2A+NKG2C-NKG2D+","Perforin-",-0.38,0.014,"*"
"CD107a-Granzyme B+Perforin+","CD107a+Granzyme B+Perforin+",-0.97,0,"***"
"CD107a-Granzyme B+Perforin-","CD107a+Granzyme B+Perforin+",-0.07,0.65,""
"CD107a-Granzyme B-Perforin+","CD107a+Granzyme B+Perforin+",0.49,0.0011,"**"
"NKG2A+NKG2C-NKG2D+","CD107a+Granzyme B+Perforin+",0.17,0.29,""
"CD107a-Granzyme B+Perforin-","CD107a-Granzyme B+Perforin+",-0.06,0.72,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin+",-0.61,2e-05,"***"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin+",-0.12,0.47,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin-",-0.15,0.35,""
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin-",-0.34,0.031,"*"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B-Perforin+",0.13,0.42,""
