"Var1","Var2","r","p","Significance"
"CD56-CD16+","CD25",-0.19,0.36,""
"CD56bright","CD25",0.47,0.017,"*"
"CD56dimCD16+/CD57","CD25",-0.21,0.32,""
"MIP-1B","CD25",0.26,0.21,""
"NKG2A","CD25",0.49,0.014,"*"
"NKG2C","CD25",-0.27,0.19,""
"NKG2D","CD25",0.23,0.27,""
"NKp30","CD25",0.48,0.016,"*"
"Perforin","CD25",-0.17,0.43,""
"Siglec-7","CD25",0.29,0.16,""
"TIGIT","CD25",0.35,0.088,""
"TNFa","CD25",-0.09,0.65,""
"CD107a-","CD25",-0.27,0.19,""
"Granzyme B-","CD25",0.59,0.0019,"**"
"NKG2A-","CD25",-0.48,0.014,"*"
"NKG2C-","CD25",0.27,0.19,""
"NKG2D-","CD25",-0.22,0.29,""
"Perforin-","CD25",0.11,0.61,""
"CD107a+Granzyme B+Perforin+","CD25",0.27,0.2,""
"CD107a-Granzyme B+Perforin+","CD25",-0.54,0.0051,"**"
"CD107a-Granzyme B+Perforin-","CD25",-0.14,0.5,""
"CD107a-Granzyme B-Perforin+","CD25",0.61,0.0011,"**"
"NKG2A+NKG2C-NKG2D+","CD25",0.5,0.01,"*"
"CD56bright","CD56-CD16+",0.04,0.86,""
"CD56dimCD16+/CD57","CD56-CD16+",-0.06,0.79,""
"MIP-1B","CD56-CD16+",0.49,0.014,"*"
"NKG2A","CD56-CD16+",-0.17,0.41,""
"NKG2C","CD56-CD16+",0.07,0.75,""
"NKG2D","CD56-CD16+",0.03,0.89,""
"NKp30","CD56-CD16+",-0.33,0.11,""
"Perforin","CD56-CD16+",-0.17,0.42,""
"Siglec-7","CD56-CD16+",-0.53,0.006,"**"
"TIGIT","CD56-CD16+",-0.18,0.38,""
"TNFa","CD56-CD16+",0.18,0.39,""
"CD107a-","CD56-CD16+",-0.36,0.075,""
"Granzyme B-","CD56-CD16+",0.22,0.29,""
"NKG2A-","CD56-CD16+",0.16,0.43,""
"NKG2C-","CD56-CD16+",-0.07,0.75,""
"NKG2D-","CD56-CD16+",-0.02,0.92,""
"Perforin-","CD56-CD16+",0.13,0.52,""
"CD107a+Granzyme B+Perforin+","CD56-CD16+",0.35,0.082,""
"CD107a-Granzyme B+Perforin+","CD56-CD16+",-0.37,0.072,""
"CD107a-Granzyme B+Perforin-","CD56-CD16+",0.26,0.21,""
"CD107a-Granzyme B-Perforin+","CD56-CD16+",0.22,0.29,""
"NKG2A+NKG2C-NKG2D+","CD56-CD16+",-0.16,0.46,""
"CD56dimCD16+/CD57","CD56bright",-0.19,0.36,""
"MIP-1B","CD56bright",0.25,0.24,""
"NKG2A","CD56bright",0.2,0.33,""
"NKG2C","CD56bright",0,1,""
"NKG2D","CD56bright",-0.16,0.44,""
"NKp30","CD56bright",0.33,0.11,""
"Perforin","CD56bright",-0.5,0.01,"*"
"Siglec-7","CD56bright",0.03,0.89,""
"TIGIT","CD56bright",0.56,0.0038,"**"
"TNFa","CD56bright",-0.09,0.65,""
"CD107a-","CD56bright",-0.38,0.061,""
"Granzyme B-","CD56bright",0.4,0.046,"*"
"NKG2A-","CD56bright",-0.2,0.34,""
"NKG2C-","CD56bright",0,0.99,""
"NKG2D-","CD56bright",0.17,0.41,""
"Perforin-","CD56bright",0.44,0.028,"*"
"CD107a+Granzyme B+Perforin+","CD56bright",0.36,0.075,""
"CD107a-Granzyme B+Perforin+","CD56bright",-0.55,0.0042,"**"
"CD107a-Granzyme B+Perforin-","CD56bright",0.28,0.18,""
"CD107a-Granzyme B-Perforin+","CD56bright",0.38,0.063,""
"NKG2A+NKG2C-NKG2D+","CD56bright",0.21,0.31,""
"MIP-1B","CD56dimCD16+/CD57",0.02,0.92,""
"NKG2A","CD56dimCD16+/CD57",0.13,0.54,""
"NKG2C","CD56dimCD16+/CD57",0.6,0.0014,"**"
"NKG2D","CD56dimCD16+/CD57",0.06,0.78,""
"NKp30","CD56dimCD16+/CD57",-0.51,0.0094,"**"
"Perforin","CD56dimCD16+/CD57",-0.03,0.9,""
"Siglec-7","CD56dimCD16+/CD57",-0.38,0.059,""
"TIGIT","CD56dimCD16+/CD57",-0.36,0.081,""
"TNFa","CD56dimCD16+/CD57",0.27,0.2,""
"CD107a-","CD56dimCD16+/CD57",-0.01,0.98,""
"Granzyme B-","CD56dimCD16+/CD57",-0.25,0.22,""
"NKG2A-","CD56dimCD16+/CD57",-0.14,0.51,""
"NKG2C-","CD56dimCD16+/CD57",-0.6,0.0014,"**"
"NKG2D-","CD56dimCD16+/CD57",-0.07,0.75,""
"Perforin-","CD56dimCD16+/CD57",-0.05,0.82,""
"CD107a+Granzyme B+Perforin+","CD56dimCD16+/CD57",-0.02,0.92,""
"CD107a-Granzyme B+Perforin+","CD56dimCD16+/CD57",0.15,0.47,""
"CD107a-Granzyme B+Perforin-","CD56dimCD16+/CD57",0.11,0.59,""
"CD107a-Granzyme B-Perforin+","CD56dimCD16+/CD57",-0.29,0.17,""
"NKG2A+NKG2C-NKG2D+","CD56dimCD16+/CD57",0.12,0.57,""
"NKG2A","MIP-1B",0.3,0.14,""
"NKG2C","MIP-1B",0.11,0.59,""
"NKG2D","MIP-1B",0.05,0.8,""
"NKp30","MIP-1B",0.02,0.91,""
"Perforin","MIP-1B",-0.23,0.26,""
"Siglec-7","MIP-1B",-0.36,0.075,""
"TIGIT","MIP-1B",0.08,0.71,""
"TNFa","MIP-1B",0.47,0.019,"*"
"CD107a-","MIP-1B",-0.6,0.0017,"**"
"Granzyme B-","MIP-1B",0.26,0.22,""
"NKG2A-","MIP-1B",-0.31,0.13,""
"NKG2C-","MIP-1B",-0.11,0.59,""
"NKG2D-","MIP-1B",-0.05,0.82,""
"Perforin-","MIP-1B",0.17,0.42,""
"CD107a+Granzyme B+Perforin+","MIP-1B",0.6,0.0016,"**"
"CD107a-Granzyme B+Perforin+","MIP-1B",-0.52,0.0077,"**"
"CD107a-Granzyme B+Perforin-","MIP-1B",0.24,0.26,""
"CD107a-Granzyme B-Perforin+","MIP-1B",0.19,0.36,""
"NKG2A+NKG2C-NKG2D+","MIP-1B",0.33,0.11,""
"NKG2C","NKG2A",-0.14,0.5,""
"NKG2D","NKG2A",0.53,0.0064,"**"
"NKp30","NKG2A",0.09,0.66,""
"Perforin","NKG2A",0.37,0.072,""
"Siglec-7","NKG2A",0.32,0.12,""
"TIGIT","NKG2A",0,0.99,""
"TNFa","NKG2A",0.18,0.4,""
"CD107a-","NKG2A",0,0.99,""
"Granzyme B-","NKG2A",0.13,0.53,""
"NKG2A-","NKG2A",-1,0,"***"
"NKG2C-","NKG2A",0.14,0.5,""
"NKG2D-","NKG2A",-0.53,0.0063,"**"
"Perforin-","NKG2A",-0.41,0.04,"*"
"CD107a+Granzyme B+Perforin+","NKG2A",0.04,0.86,""
"CD107a-Granzyme B+Perforin+","NKG2A",0,0.99,""
"CD107a-Granzyme B+Perforin-","NKG2A",-0.45,0.023,"*"
"CD107a-Granzyme B-Perforin+","NKG2A",0.1,0.62,""
"NKG2A+NKG2C-NKG2D+","NKG2A",1,0,"***"
"NKG2D","NKG2C",-0.03,0.88,""
"NKp30","NKG2C",-0.28,0.18,""
"Perforin","NKG2C",-0.22,0.28,""
"Siglec-7","NKG2C",-0.32,0.12,""
"TIGIT","NKG2C",-0.25,0.22,""
"TNFa","NKG2C",0.29,0.17,""
"CD107a-","NKG2C",-0.1,0.62,""
"Granzyme B-","NKG2C",-0.1,0.64,""
"NKG2A-","NKG2C",0.13,0.53,""
"NKG2C-","NKG2C",-1,0,"***"
"NKG2D-","NKG2C",0.03,0.9,""
"Perforin-","NKG2C",0.19,0.37,""
"CD107a+Granzyme B+Perforin+","NKG2C",0.09,0.66,""
"CD107a-Granzyme B+Perforin+","NKG2C",-0.04,0.86,""
"CD107a-Granzyme B+Perforin-","NKG2C",0.28,0.18,""
"CD107a-Granzyme B-Perforin+","NKG2C",-0.15,0.48,""
"NKG2A+NKG2C-NKG2D+","NKG2C",-0.17,0.42,""
"NKp30","NKG2D",-0.27,0.19,""
"Perforin","NKG2D",0.62,0.00092,"***"
"Siglec-7","NKG2D",0.25,0.23,""
"TIGIT","NKG2D",-0.39,0.051,""
"TNFa","NKG2D",0.13,0.53,""
"CD107a-","NKG2D",0.16,0.43,""
"Granzyme B-","NKG2D",0.07,0.73,""
"NKG2A-","NKG2D",-0.54,0.0056,"**"
"NKG2C-","NKG2D",0.03,0.88,""
"NKG2D-","NKG2D",-1,0,"***"
"Perforin-","NKG2D",-0.64,0.00063,"***"
"CD107a+Granzyme B+Perforin+","NKG2D",-0.13,0.53,""
"CD107a-Granzyme B+Perforin+","NKG2D",0.18,0.4,""
"CD107a-Granzyme B+Perforin-","NKG2D",-0.64,0.00051,"***"
"CD107a-Granzyme B-Perforin+","NKG2D",0.08,0.69,""
"NKG2A+NKG2C-NKG2D+","NKG2D",0.53,0.0062,"**"
"Perforin","NKp30",-0.07,0.73,""
"Siglec-7","NKp30",0.49,0.012,"*"
"TIGIT","NKp30",0.64,0.00053,"***"
"TNFa","NKp30",-0.11,0.61,""
"CD107a-","NKp30",0.02,0.94,""
"Granzyme B-","NKp30",0.28,0.18,""
"NKG2A-","NKp30",-0.09,0.68,""
"NKG2C-","NKp30",0.28,0.18,""
"NKG2D-","NKp30",0.28,0.18,""
"Perforin-","NKp30",0.15,0.48,""
"CD107a+Granzyme B+Perforin+","NKp30",0.01,0.95,""
"CD107a-Granzyme B+Perforin+","NKp30",-0.18,0.39,""
"CD107a-Granzyme B+Perforin-","NKp30",-0.06,0.77,""
"CD107a-Granzyme B-Perforin+","NKp30",0.28,0.17,""
"NKG2A+NKG2C-NKG2D+","NKp30",0.09,0.66,""
"Siglec-7","Perforin",0.39,0.053,""
"TIGIT","Perforin",-0.35,0.089,""
"TNFa","Perforin",0,0.98,""
"CD107a-","Perforin",0.38,0.064,""
"Granzyme B-","Perforin",-0.34,0.1,""
"NKG2A-","Perforin",-0.37,0.07,""
"NKG2C-","Perforin",0.22,0.28,""
"NKG2D-","Perforin",-0.63,8e-04,"***"
"Perforin-","Perforin",-0.97,3.1e-15,"***"
"CD107a+Granzyme B+Perforin+","Perforin",-0.31,0.13,""
"CD107a-Granzyme B+Perforin+","Perforin",0.59,0.0021,"**"
"CD107a-Granzyme B+Perforin-","Perforin",-0.83,3.4e-07,"***"
"CD107a-Granzyme B-Perforin+","Perforin",-0.28,0.17,""
"NKG2A+NKG2C-NKG2D+","Perforin",0.36,0.076,""
"TIGIT","Siglec-7",0.34,0.092,""
"TNFa","Siglec-7",-0.16,0.45,""
"CD107a-","Siglec-7",0.32,0.12,""
"Granzyme B-","Siglec-7",0.1,0.65,""
"NKG2A-","Siglec-7",-0.31,0.14,""
"NKG2C-","Siglec-7",0.32,0.12,""
"NKG2D-","Siglec-7",-0.25,0.23,""
"Perforin-","Siglec-7",-0.32,0.12,""
"CD107a+Granzyme B+Perforin+","Siglec-7",-0.27,0.19,""
"CD107a-Granzyme B+Perforin+","Siglec-7",0.2,0.35,""
"CD107a-Granzyme B+Perforin-","Siglec-7",-0.55,0.0045,"**"
"CD107a-Granzyme B-Perforin+","Siglec-7",0.11,0.6,""
"NKG2A+NKG2C-NKG2D+","Siglec-7",0.3,0.14,""
"TNFa","TIGIT",-0.18,0.38,""
"CD107a-","TIGIT",-0.09,0.66,""
"Granzyme B-","TIGIT",0.43,0.033,"*"
"NKG2A-","TIGIT",0.01,0.97,""
"NKG2C-","TIGIT",0.25,0.22,""
"NKG2D-","TIGIT",0.4,0.046,"*"
"Perforin-","TIGIT",0.37,0.067,""
"CD107a+Granzyme B+Perforin+","TIGIT",0.11,0.61,""
"CD107a-Granzyme B+Perforin+","TIGIT",-0.37,0.066,""
"CD107a-Granzyme B+Perforin-","TIGIT",0.09,0.68,""
"CD107a-Granzyme B-Perforin+","TIGIT",0.41,0.043,"*"
"NKG2A+NKG2C-NKG2D+","TIGIT",0.02,0.94,""
"CD107a-","TNFa",-0.18,0.4,""
"Granzyme B-","TNFa",0.05,0.82,""
"NKG2A-","TNFa",-0.18,0.38,""
"NKG2C-","TNFa",-0.28,0.17,""
"NKG2D-","TNFa",-0.13,0.54,""
"Perforin-","TNFa",-0.05,0.82,""
"CD107a+Granzyme B+Perforin+","TNFa",0.2,0.34,""
"CD107a-Granzyme B+Perforin+","TNFa",-0.13,0.53,""
"CD107a-Granzyme B+Perforin-","TNFa",-0.01,0.97,""
"CD107a-Granzyme B-Perforin+","TNFa",0.01,0.94,""
"NKG2A+NKG2C-NKG2D+","TNFa",0.16,0.44,""
"Granzyme B-","CD107a-",-0.18,0.38,""
"NKG2A-","CD107a-",0,0.98,""
"NKG2C-","CD107a-",0.1,0.62,""
"NKG2D-","CD107a-",-0.16,0.43,""
"Perforin-","CD107a-",-0.25,0.22,""
"CD107a+Granzyme B+Perforin+","CD107a-",-0.99,0,"***"
"CD107a-Granzyme B+Perforin+","CD107a-",0.76,8.8e-06,"***"
"CD107a-Granzyme B+Perforin-","CD107a-",-0.34,0.092,""
"CD107a-Granzyme B-Perforin+","CD107a-",-0.14,0.5,""
"NKG2A+NKG2C-NKG2D+","CD107a-",-0.02,0.91,""
"NKG2A-","Granzyme B-",-0.13,0.54,""
"NKG2C-","Granzyme B-",0.1,0.64,""
"NKG2D-","Granzyme B-",-0.06,0.77,""
"Perforin-","Granzyme B-",0.28,0.17,""
"CD107a+Granzyme B+Perforin+","Granzyme B-",0.13,0.52,""
"CD107a-Granzyme B+Perforin+","Granzyme B-",-0.75,1.4e-05,"***"
"CD107a-Granzyme B+Perforin-","Granzyme B-",-0.13,0.52,""
"CD107a-Granzyme B-Perforin+","Granzyme B-",0.98,0,"***"
"NKG2A+NKG2C-NKG2D+","Granzyme B-",0.14,0.52,""
"NKG2C-","NKG2A-",-0.13,0.53,""
"NKG2D-","NKG2A-",0.54,0.0055,"**"
"Perforin-","NKG2A-",0.42,0.038,"*"
"CD107a+Granzyme B+Perforin+","NKG2A-",-0.04,0.86,""
"CD107a-Granzyme B+Perforin+","NKG2A-",0,0.99,""
"CD107a-Granzyme B+Perforin-","NKG2A-",0.45,0.024,"*"
"CD107a-Granzyme B-Perforin+","NKG2A-",-0.1,0.63,""
"NKG2A+NKG2C-NKG2D+","NKG2A-",-1,0,"***"
"NKG2D-","NKG2C-",-0.03,0.9,""
"Perforin-","NKG2C-",-0.19,0.37,""
"CD107a+Granzyme B+Perforin+","NKG2C-",-0.09,0.66,""
"CD107a-Granzyme B+Perforin+","NKG2C-",0.04,0.86,""
