"Var1","Var2","r","p","Significance"
"CD107a+Granzyme B+Perforin+","CD56bright",0.16,0.28,""
"CD107a-Granzyme B+Perforin+","CD56bright",-0.42,0.0036,"**"
"CD107a-Granzyme B+Perforin-","CD56bright",0.41,0.0044,"**"
"CD107a-Granzyme B-Perforin+","CD56bright",0.27,0.07,""
"NKG2A+NKG2C-NKG2D+","CD56bright",0.02,0.92,""
"MIP-1B","CD56dimCD16+/CD57",-0.11,0.48,""
"NKG2A","CD56dimCD16+/CD57",0.05,0.73,""
"NKG2C","CD56dimCD16+/CD57",0.45,0.0018,"**"
"NKG2D","CD56dimCD16+/CD57",0.15,0.31,""
"NKp30","CD56dimCD16+/CD57",-0.46,0.0012,"**"
"Perforin","CD56dimCD16+/CD57",0.12,0.44,""
"Siglec-7","CD56dimCD16+/CD57",-0.32,0.032,"*"
"TIGIT","CD56dimCD16+/CD57",-0.21,0.17,""
"TNFa","CD56dimCD16+/CD57",-0.09,0.55,""
"CD107a-","CD56dimCD16+/CD57",-0.22,0.14,""
"Granzyme B-","CD56dimCD16+/CD57",-0.22,0.13,""
"NKG2A-","CD56dimCD16+/CD57",-0.05,0.73,""
"NKG2C-","CD56dimCD16+/CD57",-0.45,0.0018,"**"
"NKG2D-","CD56dimCD16+/CD57",-0.15,0.31,""
"Perforin-","CD56dimCD16+/CD57",-0.14,0.36,""
"CD107a+Granzyme B+Perforin+","CD56dimCD16+/CD57",0.21,0.15,""
"CD107a-Granzyme B+Perforin+","CD56dimCD16+/CD57",0.05,0.72,""
"CD107a-Granzyme B+Perforin-","CD56dimCD16+/CD57",0.02,0.87,""
"CD107a-Granzyme B-Perforin+","CD56dimCD16+/CD57",-0.27,0.074,""
"NKG2A+NKG2C-NKG2D+","CD56dimCD16+/CD57",0.06,0.69,""
"NKG2A","MIP-1B",0.18,0.23,""
"NKG2C","MIP-1B",-0.07,0.62,""
"NKG2D","MIP-1B",0.19,0.21,""
"NKp30","MIP-1B",0.22,0.14,""
"Perforin","MIP-1B",-0.11,0.48,""
"Siglec-7","MIP-1B",0.05,0.72,""
"TIGIT","MIP-1B",0.28,0.06,""
"TNFa","MIP-1B",0.59,1.7e-05,"***"
"CD107a-","MIP-1B",-0.38,0.0098,"**"
"Granzyme B-","MIP-1B",0.43,0.0029,"**"
"NKG2A-","MIP-1B",-0.18,0.23,""
"NKG2C-","MIP-1B",0.07,0.62,""
"NKG2D-","MIP-1B",-0.18,0.22,""
"Perforin-","MIP-1B",0.12,0.42,""
"CD107a+Granzyme B+Perforin+","MIP-1B",0.36,0.013,"*"
"CD107a-Granzyme B+Perforin+","MIP-1B",-0.48,0.00064,"***"
"CD107a-Granzyme B+Perforin-","MIP-1B",-0.14,0.35,""
"CD107a-Granzyme B-Perforin+","MIP-1B",0.4,0.006,"**"
"NKG2A+NKG2C-NKG2D+","MIP-1B",0.17,0.26,""
"NKG2C","NKG2A",-0.08,0.58,""
"NKG2D","NKG2A",0.51,0.00028,"***"
"NKp30","NKG2A",-0.09,0.53,""
"Perforin","NKG2A",0.4,0.0056,"**"
"Siglec-7","NKG2A",0.42,0.0038,"**"
"TIGIT","NKG2A",-0.1,0.51,""
"TNFa","NKG2A",0.52,0.00019,"***"
"CD107a-","NKG2A",-0.14,0.36,""
"Granzyme B-","NKG2A",-0.14,0.36,""
"NKG2A-","NKG2A",-1,0,"***"
"NKG2C-","NKG2A",0.08,0.58,""
"NKG2D-","NKG2A",-0.51,0.00026,"***"
"Perforin-","NKG2A",-0.39,0.0069,"**"
"CD107a+Granzyme B+Perforin+","NKG2A",0.21,0.17,""
"CD107a-Granzyme B+Perforin+","NKG2A",0.07,0.62,""
"CD107a-Granzyme B+Perforin-","NKG2A",-0.3,0.046,"*"
"CD107a-Granzyme B-Perforin+","NKG2A",-0.11,0.49,""
"NKG2A+NKG2C-NKG2D+","NKG2A",1,0,"***"
"NKG2D","NKG2C",-0.1,0.52,""
"NKp30","NKG2C",-0.13,0.39,""
"Perforin","NKG2C",-0.2,0.18,""
"Siglec-7","NKG2C",-0.26,0.08,""
"TIGIT","NKG2C",-0.17,0.25,""
"TNFa","NKG2C",0.05,0.72,""
"CD107a-","NKG2C",-0.06,0.68,""
"Granzyme B-","NKG2C",-0.05,0.74,""
"NKG2A-","NKG2C",0.08,0.58,""
"NKG2C-","NKG2C",-1,0,"***"
"NKG2D-","NKG2C",0.1,0.52,""
"Perforin-","NKG2C",0.23,0.13,""
"CD107a+Granzyme B+Perforin+","NKG2C",0.04,0.79,""
"CD107a-Granzyme B+Perforin+","NKG2C",-0.04,0.81,""
"CD107a-Granzyme B+Perforin-","NKG2C",0.31,0.036,"*"
"CD107a-Granzyme B-Perforin+","NKG2C",-0.1,0.52,""
"NKG2A+NKG2C-NKG2D+","NKG2C",-0.11,0.48,""
"NKp30","NKG2D",-0.26,0.085,""
"Perforin","NKG2D",0.56,5.3e-05,"***"
"Siglec-7","NKG2D",0.33,0.025,"*"
"TIGIT","NKG2D",-0.34,0.019,"*"
"TNFa","NKG2D",0.29,0.05,""
"CD107a-","NKG2D",-0.17,0.25,""
"Granzyme B-","NKG2D",-0.09,0.56,""
"NKG2A-","NKG2D",-0.51,0.00027,"***"
"NKG2C-","NKG2D",0.1,0.53,""
"NKG2D-","NKG2D",-1,0,"***"
"Perforin-","NKG2D",-0.55,8.6e-05,"***"
"CD107a+Granzyme B+Perforin+","NKG2D",0.23,0.12,""
"CD107a-Granzyme B+Perforin+","NKG2D",0.08,0.59,""
"CD107a-Granzyme B+Perforin-","NKG2D",-0.55,7.1e-05,"***"
"CD107a-Granzyme B-Perforin+","NKG2D",-0.06,0.69,""
"NKG2A+NKG2C-NKG2D+","NKG2D",0.54,0.00012,"***"
"Perforin","NKp30",-0.11,0.48,""
"Siglec-7","NKp30",0.29,0.051,""
"TIGIT","NKp30",0.44,0.0024,"**"
"TNFa","NKp30",0.04,0.8,""
"CD107a-","NKp30",-0.01,0.92,""
"Granzyme B-","NKp30",0.28,0.06,""
"NKG2A-","NKp30",0.1,0.53,""
"NKG2C-","NKp30",0.13,0.39,""
"NKG2D-","NKp30",0.26,0.084,""
"Perforin-","NKp30",0.13,0.4,""
"CD107a+Granzyme B+Perforin+","NKp30",0.01,0.96,""
"CD107a-Granzyme B+Perforin+","NKp30",-0.21,0.16,""
"CD107a-Granzyme B+Perforin-","NKp30",-0.03,0.83,""
"CD107a-Granzyme B-Perforin+","NKp30",0.29,0.054,""
"NKG2A+NKG2C-NKG2D+","NKp30",-0.11,0.49,""
"Siglec-7","Perforin",0.33,0.027,"*"
"TIGIT","Perforin",-0.2,0.19,""
"TNFa","Perforin",0.14,0.37,""
"CD107a-","Perforin",0.29,0.052,""
"Granzyme B-","Perforin",-0.41,0.0044,"**"
"NKG2A-","Perforin",-0.4,0.0055,"**"
"NKG2C-","Perforin",0.2,0.18,""
"NKG2D-","Perforin",-0.56,5.1e-05,"***"
"Perforin-","Perforin",-0.98,0,"***"
"CD107a+Granzyme B+Perforin+","Perforin",-0.17,0.27,""
"CD107a-Granzyme B+Perforin+","Perforin",0.6,8.6e-06,"***"
"CD107a-Granzyme B+Perforin-","Perforin",-0.67,3.3e-07,"***"
"CD107a-Granzyme B-Perforin+","Perforin",-0.3,0.04,"*"
"NKG2A+NKG2C-NKG2D+","Perforin",0.42,0.0037,"**"
"TIGIT","Siglec-7",0.03,0.82,""
"TNFa","Siglec-7",0.3,0.04,"*"
"CD107a-","Siglec-7",0,0.98,""
"Granzyme B-","Siglec-7",0.01,0.93,""
"NKG2A-","Siglec-7",-0.42,0.0039,"**"
"NKG2C-","Siglec-7",0.26,0.081,""
"NKG2D-","Siglec-7",-0.33,0.024,"*"
"Perforin-","Siglec-7",-0.3,0.042,"*"
"CD107a+Granzyme B+Perforin+","Siglec-7",0.05,0.74,""
"CD107a-Granzyme B+Perforin+","Siglec-7",0.08,0.6,""
"CD107a-Granzyme B+Perforin-","Siglec-7",-0.43,0.0025,"**"
"CD107a-Granzyme B-Perforin+","Siglec-7",0.01,0.97,""
"NKG2A+NKG2C-NKG2D+","Siglec-7",0.42,0.0035,"**"
"TNFa","TIGIT",0.04,0.78,""
"CD107a-","TIGIT",-0.07,0.66,""
"Granzyme B-","TIGIT",0.44,0.002,"**"
"NKG2A-","TIGIT",0.1,0.51,""
"NKG2C-","TIGIT",0.17,0.25,""
"NKG2D-","TIGIT",0.35,0.018,"*"
"Perforin-","TIGIT",0.18,0.23,""
"CD107a+Granzyme B+Perforin+","TIGIT",0.05,0.73,""
"CD107a-Granzyme B+Perforin+","TIGIT",-0.35,0.016,"*"
"CD107a-Granzyme B+Perforin-","TIGIT",0,0.98,""
"CD107a-Granzyme B-Perforin+","TIGIT",0.43,0.0026,"**"
"NKG2A+NKG2C-NKG2D+","TIGIT",-0.11,0.48,""
"CD107a-","TNFa",-0.08,0.62,""
"Granzyme B-","TNFa",0.3,0.04,"*"
"NKG2A-","TNFa",-0.52,0.00019,"***"
"NKG2C-","TNFa",-0.06,0.72,""
"NKG2D-","TNFa",-0.29,0.049,"*"
"Perforin-","TNFa",-0.12,0.42,""
"CD107a+Granzyme B+Perforin+","TNFa",0.07,0.64,""
"CD107a-Granzyme B+Perforin+","TNFa",-0.2,0.18,""
"CD107a-Granzyme B+Perforin-","TNFa",-0.3,0.039,"*"
"CD107a-Granzyme B-Perforin+","TNFa",0.31,0.038,"*"
"NKG2A+NKG2C-NKG2D+","TNFa",0.51,0.00034,"***"
"Granzyme B-","CD107a-",-0.18,0.22,""
"NKG2A-","CD107a-",0.14,0.37,""
"NKG2C-","CD107a-",0.06,0.68,""
"NKG2D-","CD107a-",0.17,0.26,""
"Perforin-","CD107a-",-0.29,0.048,"*"
"CD107a+Granzyme B+Perforin+","CD107a-",-0.98,0,"***"
"CD107a-Granzyme B+Perforin+","CD107a-",0.71,2.5e-08,"***"
"CD107a-Granzyme B+Perforin-","CD107a-",-0.22,0.15,""
"CD107a-Granzyme B-Perforin+","CD107a-",-0.11,0.47,""
"NKG2A+NKG2C-NKG2D+","CD107a-",-0.14,0.37,""
"NKG2A-","Granzyme B-",0.14,0.36,""
"NKG2C-","Granzyme B-",0.05,0.74,""
"NKG2D-","Granzyme B-",0.09,0.55,""
"Perforin-","Granzyme B-",0.36,0.015,"*"
"CD107a+Granzyme B+Perforin+","Granzyme B-",0.07,0.66,""
"CD107a-Granzyme B+Perforin+","Granzyme B-",-0.79,7.3e-11,"***"
"CD107a-Granzyme B+Perforin-","Granzyme B-",-0.2,0.18,""
"CD107a-Granzyme B-Perforin+","Granzyme B-",0.98,0,"***"
"NKG2A+NKG2C-NKG2D+","Granzyme B-",-0.14,0.36,""
"NKG2C-","NKG2A-",-0.08,0.58,""
"NKG2D-","NKG2A-",0.52,0.00025,"***"
"Perforin-","NKG2A-",0.39,0.0067,"**"
"CD107a+Granzyme B+Perforin+","NKG2A-",-0.21,0.17,""
"CD107a-Granzyme B+Perforin+","NKG2A-",-0.08,0.62,""
"CD107a-Granzyme B+Perforin-","NKG2A-",0.3,0.045,"*"
"CD107a-Granzyme B-Perforin+","NKG2A-",0.11,0.49,""
"NKG2A+NKG2C-NKG2D+","NKG2A-",-1,0,"***"
"NKG2D-","NKG2C-",-0.1,0.52,""
"Perforin-","NKG2C-",-0.23,0.13,""
"CD107a+Granzyme B+Perforin+","NKG2C-",-0.04,0.79,""
"CD107a-Granzyme B+Perforin+","NKG2C-",0.04,0.81,""
"CD107a-Granzyme B+Perforin-","NKG2C-",-0.31,0.036,"*"
"CD107a-Granzyme B-Perforin+","NKG2C-",0.1,0.52,""
"NKG2A+NKG2C-NKG2D+","NKG2C-",0.11,0.48,""
"Perforin-","NKG2D-",0.55,8.4e-05,"***"
"CD107a+Granzyme B+Perforin+","NKG2D-",-0.23,0.13,""
"CD107a-Granzyme B+Perforin+","NKG2D-",-0.09,0.57,""
"CD107a-Granzyme B+Perforin-","NKG2D-",0.55,7.1e-05,"***"
"CD107a-Granzyme B-Perforin+","NKG2D-",0.06,0.68,""
"NKG2A+NKG2C-NKG2D+","NKG2D-",-0.54,0.00011,"***"
"CD107a+Granzyme B+Perforin+","Perforin-",0.18,0.23,""
"CD107a-Granzyme B+Perforin+","Perforin-",-0.57,4.2e-05,"***"
"CD107a-Granzyme B+Perforin-","Perforin-",0.68,2.3e-07,"***"
"CD107a-Granzyme B-Perforin+","Perforin-",0.24,0.11,""
"NKG2A+NKG2C-NKG2D+","Perforin-",-0.41,0.0042,"**"
"CD107a-Granzyme B+Perforin+","CD107a+Granzyme B+Perforin+",-0.61,5.6e-06,"***"
"CD107a-Granzyme B+Perforin-","CD107a+Granzyme B+Perforin+",0.17,0.25,""
"CD107a-Granzyme B-Perforin+","CD107a+Granzyme B+Perforin+",0.01,0.96,""
"NKG2A+NKG2C-NKG2D+","CD107a+Granzyme B+Perforin+",0.21,0.17,""
"CD107a-Granzyme B+Perforin-","CD107a-Granzyme B+Perforin+",-0.15,0.33,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin+",-0.73,9.7e-09,"***"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin+",0.08,0.6,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin-",-0.25,0.095,""
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin-",-0.32,0.032,"*"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B-Perforin+",-0.11,0.49,""
