"Var1","Var2","r","p","Significance"
"CD56-CD16+","CD25",-0.13,0.44,""
"CD56bright","CD25",0.38,0.019,"*"
"CD56dimCD16+/CD57","CD25",0.03,0.84,""
"MIP-1B","CD25",0.52,0.00091,"***"
"NKG2A","CD25",0.36,0.029,"*"
"NKG2C","CD25",-0.18,0.28,""
"NKG2D","CD25",0.25,0.14,""
"NKp30","CD25",0.2,0.22,""
"Perforin","CD25",-0.1,0.55,""
"Siglec-7","CD25",0.28,0.094,""
"TIGIT","CD25",0.1,0.54,""
"TNFa","CD25",0.33,0.049,"*"
"CD107a-","CD25",-0.68,3.4e-06,"***"
"Granzyme B-","CD25",0.37,0.025,"*"
"NKG2A-","CD25",-0.36,0.03,"*"
"NKG2C-","CD25",0.18,0.28,""
"NKG2D-","CD25",-0.24,0.15,""
"Perforin-","CD25",0,0.99,""
"CD107a+Granzyme B+Perforin+","CD25",0.69,2.4e-06,"***"
"CD107a-Granzyme B+Perforin+","CD25",-0.64,2.4e-05,"***"
"CD107a-Granzyme B+Perforin-","CD25",-0.24,0.16,""
"CD107a-Granzyme B-Perforin+","CD25",0.31,0.059,""
"NKG2A+NKG2C-NKG2D+","CD25",0.38,0.021,"*"
"CD56bright","CD56-CD16+",0.01,0.95,""
"CD56dimCD16+/CD57","CD56-CD16+",-0.07,0.69,""
"MIP-1B","CD56-CD16+",-0.08,0.63,""
"NKG2A","CD56-CD16+",-0.13,0.43,""
"NKG2C","CD56-CD16+",0.05,0.76,""
"NKG2D","CD56-CD16+",-0.11,0.51,""
"NKp30","CD56-CD16+",-0.37,0.024,"*"
"Perforin","CD56-CD16+",-0.29,0.084,""
"Siglec-7","CD56-CD16+",-0.56,0.00034,"***"
"TIGIT","CD56-CD16+",-0.24,0.15,""
"TNFa","CD56-CD16+",-0.23,0.16,""
"CD107a-","CD56-CD16+",-0.05,0.78,""
"Granzyme B-","CD56-CD16+",0.22,0.2,""
"NKG2A-","CD56-CD16+",0.13,0.43,""
"NKG2C-","CD56-CD16+",-0.05,0.76,""
"NKG2D-","CD56-CD16+",0.11,0.5,""
"Perforin-","CD56-CD16+",0.24,0.14,""
"CD107a+Granzyme B+Perforin+","CD56-CD16+",0,0.98,""
"CD107a-Granzyme B+Perforin+","CD56-CD16+",-0.16,0.35,""
"CD107a-Granzyme B+Perforin-","CD56-CD16+",0.22,0.19,""
"CD107a-Granzyme B-Perforin+","CD56-CD16+",0.25,0.13,""
"NKG2A+NKG2C-NKG2D+","CD56-CD16+",-0.13,0.45,""
"CD56dimCD16+/CD57","CD56bright",-0.11,0.51,""
"MIP-1B","CD56bright",0.09,0.58,""
"NKG2A","CD56bright",-0.01,0.97,""
"NKG2C","CD56bright",0.18,0.29,""
"NKG2D","CD56bright",-0.36,0.03,"*"
"NKp30","CD56bright",0.26,0.12,""
"Perforin","CD56bright",-0.46,0.0039,"**"
"Siglec-7","CD56bright",-0.03,0.84,""
"TIGIT","CD56bright",0.46,0.004,"**"
"TNFa","CD56bright",-0.04,0.83,""
"CD107a-","CD56bright",-0.47,0.003,"**"
"Granzyme B-","CD56bright",0.29,0.083,""
"NKG2A-","CD56bright",0.01,0.96,""
"NKG2C-","CD56bright",-0.18,0.29,""
"NKG2D-","CD56bright",0.36,0.028,"*"
"Perforin-","CD56bright",0.41,0.011,"*"
"CD107a+Granzyme B+Perforin+","CD56bright",0.41,0.011,"*"
"CD107a-Granzyme B+Perforin+","CD56bright",-0.53,0.00068,"***"
"CD107a-Granzyme B+Perforin-","CD56bright",0.3,0.07,""
"CD107a-Granzyme B-Perforin+","CD56bright",0.28,0.091,""
"NKG2A+NKG2C-NKG2D+","CD56bright",-0.02,0.93,""
"MIP-1B","CD56dimCD16+/CD57",-0.16,0.34,""
"NKG2A","CD56dimCD16+/CD57",0.22,0.19,""
"NKG2C","CD56dimCD16+/CD57",0.5,0.0014,"**"
"NKG2D","CD56dimCD16+/CD57",0.2,0.24,""
"NKp30","CD56dimCD16+/CD57",-0.46,0.0043,"**"
"Perforin","CD56dimCD16+/CD57",0.11,0.53,""
"Siglec-7","CD56dimCD16+/CD57",-0.24,0.16,""
"TIGIT","CD56dimCD16+/CD57",-0.33,0.049,"*"
"TNFa","CD56dimCD16+/CD57",0.13,0.46,""
"CD107a-","CD56dimCD16+/CD57",0.01,0.96,""
"Granzyme B-","CD56dimCD16+/CD57",-0.17,0.32,""
"NKG2A-","CD56dimCD16+/CD57",-0.22,0.19,""
"NKG2C-","CD56dimCD16+/CD57",-0.51,0.0014,"**"
"NKG2D-","CD56dimCD16+/CD57",-0.2,0.24,""
"Perforin-","CD56dimCD16+/CD57",-0.09,0.61,""
"CD107a+Granzyme B+Perforin+","CD56dimCD16+/CD57",0,0.99,""
"CD107a-Granzyme B+Perforin+","CD56dimCD16+/CD57",0.09,0.59,""
"CD107a-Granzyme B+Perforin-","CD56dimCD16+/CD57",-0.1,0.56,""
"CD107a-Granzyme B-Perforin+","CD56dimCD16+/CD57",-0.2,0.24,""
"NKG2A+NKG2C-NKG2D+","CD56dimCD16+/CD57",0.2,0.23,""
"NKG2A","MIP-1B",0.42,0.011,"*"
"NKG2C","MIP-1B",-0.01,0.97,""
"NKG2D","MIP-1B",0.33,0.046,"*"
"NKp30","MIP-1B",0.23,0.17,""
"Perforin","MIP-1B",0.05,0.76,""
"Siglec-7","MIP-1B",0.21,0.2,""
"TIGIT","MIP-1B",0.21,0.22,""
"TNFa","MIP-1B",0.64,1.7e-05,"***"
"CD107a-","MIP-1B",-0.57,0.00026,"***"
"Granzyme B-","MIP-1B",0.48,0.0024,"**"
"NKG2A-","MIP-1B",-0.41,0.011,"*"
"NKG2C-","MIP-1B",0.01,0.97,""
"NKG2D-","MIP-1B",-0.33,0.049,"*"
"Perforin-","MIP-1B",-0.04,0.84,""
"CD107a+Granzyme B+Perforin+","MIP-1B",0.59,0.00013,"***"
"CD107a-Granzyme B+Perforin+","MIP-1B",-0.56,0.00031,"***"
"CD107a-Granzyme B+Perforin-","MIP-1B",-0.28,0.089,""
"CD107a-Granzyme B-Perforin+","MIP-1B",0.47,0.0032,"**"
"NKG2A+NKG2C-NKG2D+","MIP-1B",0.42,0.0089,"**"
"NKG2C","NKG2A",-0.02,0.9,""
"NKG2D","NKG2A",0.58,2e-04,"***"
"NKp30","NKG2A",-0.18,0.29,""
"Perforin","NKG2A",0.35,0.033,"*"
"Siglec-7","NKG2A",0.37,0.026,"*"
"TIGIT","NKG2A",-0.1,0.55,""
"TNFa","NKG2A",0.53,0.00067,"***"
"CD107a-","NKG2A",-0.15,0.37,""
"Granzyme B-","NKG2A",-0.04,0.81,""
"NKG2A-","NKG2A",-1,0,"***"
"NKG2C-","NKG2A",0.02,0.9,""
"NKG2D-","NKG2A",-0.58,0.00019,"***"
"Perforin-","NKG2A",-0.4,0.013,"*"
"CD107a+Granzyme B+Perforin+","NKG2A",0.21,0.2,""
"CD107a-Granzyme B+Perforin+","NKG2A",-0.04,0.81,""
"CD107a-Granzyme B+Perforin-","NKG2A",-0.37,0.024,"*"
"CD107a-Granzyme B-Perforin+","NKG2A",0,0.98,""
"NKG2A+NKG2C-NKG2D+","NKG2A",1,0,"***"
"NKG2D","NKG2C",-0.11,0.52,""
"NKp30","NKG2C",-0.19,0.27,""
"Perforin","NKG2C",-0.13,0.45,""
"Siglec-7","NKG2C",-0.31,0.064,""
"TIGIT","NKG2C",-0.14,0.42,""
