"Var1","Var2","r","p","Significance"
"CD56-CD16+","CD25",-0.08,0.61,""
"CD56bright","CD25",0.46,0.0017,"**"
"CD56dimCD16+/CD57","CD25",-0.03,0.86,""
"MIP-1B","CD25",0.08,0.61,""
"NKG2A","CD25",0.35,0.023,"*"
"NKG2C","CD25",-0.09,0.57,""
"NKG2D","CD25",0.23,0.13,""
"NKp30","CD25",0.24,0.13,""
"Perforin","CD25",-0.31,0.043,"*"
"Siglec-7","CD25",0.31,0.046,"*"
"TIGIT","CD25",0.15,0.34,""
"TNFa","CD25",0.05,0.75,""
"CD107a-","CD25",-0.14,0.38,""
"Granzyme B-","CD25",0.43,0.0044,"**"
"NKG2A-","CD25",-0.34,0.024,"*"
"NKG2C-","CD25",0.09,0.57,""
"NKG2D-","CD25",-0.23,0.14,""
"Perforin-","CD25",0.25,0.11,""
"CD107a+Granzyme B+Perforin+","CD25",0.08,0.61,""
"CD107a-Granzyme B+Perforin+","CD25",-0.45,0.0027,"**"
"CD107a-Granzyme B+Perforin-","CD25",0.13,0.41,""
"CD107a-Granzyme B-Perforin+","CD25",0.42,0.0051,"**"
"NKG2A+NKG2C-NKG2D+","CD25",0.35,0.022,"*"
"CD56bright","CD56-CD16+",0.11,0.47,""
"CD56dimCD16+/CD57","CD56-CD16+",-0.08,0.63,""
"MIP-1B","CD56-CD16+",0.31,0.042,"*"
"NKG2A","CD56-CD16+",-0.06,0.68,""
"NKG2C","CD56-CD16+",0.11,0.47,""
"NKG2D","CD56-CD16+",-0.1,0.52,""
"NKp30","CD56-CD16+",-0.3,0.048,"*"
"Perforin","CD56-CD16+",-0.25,0.1,""
"Siglec-7","CD56-CD16+",-0.4,0.0072,"**"
"TIGIT","CD56-CD16+",-0.12,0.43,""
"TNFa","CD56-CD16+",0.01,0.96,""
"CD107a-","CD56-CD16+",-0.33,0.029,"*"
"Granzyme B-","CD56-CD16+",0.19,0.22,""
"NKG2A-","CD56-CD16+",0.07,0.68,""
"NKG2C-","CD56-CD16+",-0.11,0.47,""
"NKG2D-","CD56-CD16+",0.1,0.5,""
"Perforin-","CD56-CD16+",0.27,0.079,""
"CD107a+Granzyme B+Perforin+","CD56-CD16+",0.28,0.07,""
"CD107a-Granzyme B+Perforin+","CD56-CD16+",-0.33,0.03,"*"
"CD107a-Granzyme B+Perforin-","CD56-CD16+",0.29,0.06,""
"CD107a-Granzyme B-Perforin+","CD56-CD16+",0.22,0.16,""
"NKG2A+NKG2C-NKG2D+","CD56-CD16+",-0.06,0.69,""
"CD56dimCD16+/CD57","CD56bright",-0.14,0.36,""
"MIP-1B","CD56bright",0.16,0.32,""
"NKG2A","CD56bright",0.12,0.43,""
"NKG2C","CD56bright",0.18,0.26,""
"NKG2D","CD56bright",-0.24,0.12,""
"NKp30","CD56bright",0.25,0.1,""
"Perforin","CD56bright",-0.49,0.00091,"***"
"Siglec-7","CD56bright",0.01,0.93,""
"TIGIT","CD56bright",0.43,0.0043,"**"
"TNFa","CD56bright",0.05,0.76,""
"CD107a-","CD56bright",-0.17,0.28,""
"Granzyme B-","CD56bright",0.39,0.0093,"**"
"NKG2A-","CD56bright",-0.12,0.44,""
"NKG2C-","CD56bright",-0.18,0.26,""
"NKG2D-","CD56bright",0.25,0.11,""
"Perforin-","CD56bright",0.49,0.00091,"***"
"CD107a+Granzyme B+Perforin+","CD56bright",0.09,0.59,""
"CD107a-Granzyme B+Perforin+","CD56bright",-0.48,0.0011,"**"
"CD107a-Granzyme B+Perforin-","CD56bright",0.41,0.0057,"**"
"CD107a-Granzyme B-Perforin+","CD56bright",0.37,0.014,"*"
"NKG2A+NKG2C-NKG2D+","CD56bright",0.11,0.47,""
"MIP-1B","CD56dimCD16+/CD57",0.14,0.37,""
"NKG2A","CD56dimCD16+/CD57",0.1,0.53,""
"NKG2C","CD56dimCD16+/CD57",0.5,0.00073,"***"
"NKG2D","CD56dimCD16+/CD57",0.15,0.32,""
