"Var1","Var2","r","p","Significance"
"CD56-CD16+","CD25",-0.12,0.43,""
"CD56bright","CD25",0.47,0.00076,"***"
"CD56dimCD16+/CD57","CD25",0.03,0.86,""
"MIP-1B","CD25",0.26,0.071,""
"NKG2A","CD25",0.31,0.035,"*"
"NKG2C","CD25",-0.1,0.51,""
"NKG2D","CD25",0.2,0.17,""
"NKp30","CD25",0.19,0.2,""
"Perforin","CD25",-0.17,0.26,""
"Siglec-7","CD25",0.16,0.27,""
"TIGIT","CD25",0.17,0.26,""
"TNFa","CD25",-0.05,0.74,""
"CD107a-","CD25",-0.1,0.5,""
"Granzyme B-","CD25",0.18,0.23,""
"NKG2A-","CD25",-0.3,0.036,"*"
"NKG2C-","CD25",0.1,0.51,""
"NKG2D-","CD25",-0.2,0.18,""
"Perforin-","CD25",0.17,0.25,""
"CD107a+Granzyme B+Perforin+","CD25",0.02,0.89,""
"CD107a-Granzyme B+Perforin+","CD25",-0.2,0.18,""
"CD107a-Granzyme B+Perforin-","CD25",0.1,0.51,""
"CD107a-Granzyme B-Perforin+","CD25",0.21,0.16,""
"NKG2A+NKG2C-NKG2D+","CD25",0.31,0.034,"*"
"CD56bright","CD56-CD16+",0.03,0.84,""
"CD56dimCD16+/CD57","CD56-CD16+",-0.13,0.38,""
"MIP-1B","CD56-CD16+",0.24,0.1,""
"NKG2A","CD56-CD16+",-0.02,0.88,""
"NKG2C","CD56-CD16+",0.06,0.69,""
"NKG2D","CD56-CD16+",-0.01,0.93,""
"NKp30","CD56-CD16+",-0.39,0.0067,"**"
"Perforin","CD56-CD16+",-0.01,0.93,""
"Siglec-7","CD56-CD16+",-0.36,0.011,"*"
"TIGIT","CD56-CD16+",-0.02,0.88,""
"TNFa","CD56-CD16+",-0.06,0.7,""
"CD107a-","CD56-CD16+",-0.33,0.022,"*"
"Granzyme B-","CD56-CD16+",0.04,0.78,""
"NKG2A-","CD56-CD16+",0.02,0.88,""
"NKG2C-","CD56-CD16+",-0.06,0.67,""
"NKG2D-","CD56-CD16+",0.02,0.91,""
"Perforin-","CD56-CD16+",0.02,0.92,""
"CD107a+Granzyme B+Perforin+","CD56-CD16+",0.35,0.014,"*"
"CD107a-Granzyme B+Perforin+","CD56-CD16+",-0.07,0.63,""
"CD107a-Granzyme B+Perforin-","CD56-CD16+",0.09,0.53,""
"CD107a-Granzyme B-Perforin+","CD56-CD16+",0.37,0.0088,"**"
"NKG2A+NKG2C-NKG2D+","CD56-CD16+",-0.01,0.92,""
"CD56dimCD16+/CD57","CD56bright",-0.16,0.28,""
"MIP-1B","CD56bright",0.07,0.64,""
"NKG2A","CD56bright",0.14,0.36,""
"NKG2C","CD56bright",0.14,0.33,""
"NKG2D","CD56bright",-0.05,0.74,""
"NKp30","CD56bright",0.24,0.099,""
"Perforin","CD56bright",-0.21,0.15,""
"Siglec-7","CD56bright",0.06,0.68,""
"TIGIT","CD56bright",0.22,0.14,""
"TNFa","CD56bright",-0.07,0.61,""
"CD107a-","CD56bright",0.15,0.31,""
"Granzyme B-","CD56bright",0.22,0.13,""
"NKG2A-","CD56bright",-0.13,0.37,""
"NKG2C-","CD56bright",-0.14,0.33,""
"NKG2D-","CD56bright",0.05,0.72,""
"Perforin-","CD56bright",0.22,0.14,""
"CD107a+Granzyme B+Perforin+","CD56bright",-0.19,0.2,""
"CD107a-Granzyme B+Perforin+","CD56bright",-0.23,0.11,""
"CD107a-Granzyme B+Perforin-","CD56bright",0.29,0.044,"*"
"CD107a-Granzyme B-Perforin+","CD56bright",0.26,0.074,""
"NKG2A+NKG2C-NKG2D+","CD56bright",0.13,0.37,""
"MIP-1B","CD56dimCD16+/CD57",0.12,0.42,""
"NKG2A","CD56dimCD16+/CD57",0,0.99,""
"NKG2C","CD56dimCD16+/CD57",0.45,0.0014,"**"
"NKG2D","CD56dimCD16+/CD57",0.09,0.54,""
"NKp30","CD56dimCD16+/CD57",-0.38,0.0075,"**"
"Perforin","CD56dimCD16+/CD57",0.23,0.12,""
"Siglec-7","CD56dimCD16+/CD57",-0.33,0.021,"*"
"TIGIT","CD56dimCD16+/CD57",-0.08,0.57,""
"TNFa","CD56dimCD16+/CD57",0.2,0.17,""
"CD107a-","CD56dimCD16+/CD57",-0.26,0.078,""
"Granzyme B-","CD56dimCD16+/CD57",-0.23,0.11,""
"NKG2A-","CD56dimCD16+/CD57",0,0.98,""
"NKG2C-","CD56dimCD16+/CD57",-0.45,0.0014,"**"
"NKG2D-","CD56dimCD16+/CD57",-0.09,0.53,""
"Perforin-","CD56dimCD16+/CD57",-0.23,0.11,""
"CD107a+Granzyme B+Perforin+","CD56dimCD16+/CD57",0.24,0.1,""
"CD107a-Granzyme B+Perforin+","CD56dimCD16+/CD57",0.22,0.13,""
"CD107a-Granzyme B+Perforin-","CD56dimCD16+/CD57",-0.11,0.46,""
"CD107a-Granzyme B-Perforin+","CD56dimCD16+/CD57",-0.09,0.54,""
"NKG2A+NKG2C-NKG2D+","CD56dimCD16+/CD57",0,0.98,""
"NKG2A","MIP-1B",0.27,0.062,""
"NKG2C","MIP-1B",-0.1,0.52,""
"NKG2D","MIP-1B",0.27,0.068,""
"NKp30","MIP-1B",-0.18,0.23,""
"Perforin","MIP-1B",0.08,0.59,""
"Siglec-7","MIP-1B",-0.06,0.68,""
"TIGIT","MIP-1B",0.14,0.36,""
"TNFa","MIP-1B",0.16,0.29,""
"CD107a-","MIP-1B",-0.35,0.014,"*"
"Granzyme B-","MIP-1B",-0.05,0.74,""
"NKG2A-","MIP-1B",-0.27,0.063,""
"NKG2C-","MIP-1B",0.1,0.52,""
"NKG2D-","MIP-1B",-0.26,0.071,""
"Perforin-","MIP-1B",-0.08,0.59,""
"CD107a+Granzyme B+Perforin+","MIP-1B",0.35,0.014,"*"
"CD107a-Granzyme B+Perforin+","MIP-1B",0.03,0.85,""
"CD107a-Granzyme B+Perforin-","MIP-1B",-0.05,0.72,""
"CD107a-Granzyme B-Perforin+","MIP-1B",0.3,0.04,"*"
"NKG2A+NKG2C-NKG2D+","MIP-1B",0.28,0.053,""
"NKG2C","NKG2A",-0.03,0.82,""
"NKG2D","NKG2A",0.47,0.00065,"***"
"NKp30","NKG2A",-0.09,0.53,""
"Perforin","NKG2A",0.1,0.5,""
"Siglec-7","NKG2A",0.43,0.0021,"**"
"TIGIT","NKG2A",-0.02,0.91,""
"TNFa","NKG2A",0.28,0.054,""
"CD107a-","NKG2A",-0.14,0.35,""
"Granzyme B-","NKG2A",-0.09,0.55,""
"NKG2A-","NKG2A",-1,0,"***"
"NKG2C-","NKG2A",0.04,0.81,""
"NKG2D-","NKG2A",-0.48,0.00063,"***"
"Perforin-","NKG2A",-0.1,0.5,""
"CD107a+Granzyme B+Perforin+","NKG2A",0.13,0.39,""
"CD107a-Granzyme B+Perforin+","NKG2A",0.1,0.52,""
"CD107a-Granzyme B+Perforin-","NKG2A",-0.37,0.009,"**"
"CD107a-Granzyme B-Perforin+","NKG2A",-0.04,0.77,""
"NKG2A+NKG2C-NKG2D+","NKG2A",1,0,"***"
"NKG2D","NKG2C",-0.03,0.84,""
"NKp30","NKG2C",-0.16,0.26,""
"Perforin","NKG2C",-0.06,0.68,""
"Siglec-7","NKG2C",-0.28,0.053,""
"TIGIT","NKG2C",-0.16,0.29,""
"TNFa","NKG2C",0.17,0.24,""
"CD107a-","NKG2C",-0.12,0.42,""
"Granzyme B-","NKG2C",0.04,0.78,""
"NKG2A-","NKG2C",0.03,0.82,""
"NKG2C-","NKG2C",-1,0,"***"
"NKG2D-","NKG2C",0.03,0.84,""
"Perforin-","NKG2C",0.06,0.66,""
"CD107a+Granzyme B+Perforin+","NKG2C",0.11,0.45,""
"CD107a-Granzyme B+Perforin+","NKG2C",-0.06,0.7,""
"CD107a-Granzyme B+Perforin-","NKG2C",0.15,0.3,""
"CD107a-Granzyme B-Perforin+","NKG2C",-0.13,0.38,""
"NKG2A+NKG2C-NKG2D+","NKG2C",-0.05,0.71,""
"NKp30","NKG2D",-0.26,0.077,""
"Perforin","NKG2D",0.32,0.026,"*"
"Siglec-7","NKG2D",0.28,0.052,""
"TIGIT","NKG2D",-0.2,0.17,""
"TNFa","NKG2D",0.11,0.48,""
"CD107a-","NKG2D",-0.21,0.16,""
"Granzyme B-","NKG2D",-0.29,0.049,"*"
"NKG2A-","NKG2D",-0.48,0.00061,"***"
"NKG2C-","NKG2D",0.03,0.84,""
"NKG2D-","NKG2D",-1,0,"***"
"Perforin-","NKG2D",-0.33,0.024,"*"
"CD107a+Granzyme B+Perforin+","NKG2D",0.15,0.3,""
"CD107a-Granzyme B+Perforin+","NKG2D",0.29,0.043,"*"
"CD107a-Granzyme B+Perforin-","NKG2D",-0.47,0.00086,"***"
"CD107a-Granzyme B-Perforin+","NKG2D",0.16,0.27,""
"NKG2A+NKG2C-NKG2D+","NKG2D",0.49,4e-04,"***"
"Perforin","NKp30",-0.27,0.06,""
"Siglec-7","NKp30",0.29,0.044,"*"
"TIGIT","NKp30",0.28,0.058,""
"TNFa","NKp30",0.01,0.92,""
"CD107a-","NKp30",0.39,0.0067,"**"
"Granzyme B-","NKp30",0.28,0.054,""
"NKG2A-","NKp30",0.09,0.53,""
"NKG2C-","NKp30",0.17,0.26,""
"NKG2D-","NKp30",0.26,0.071,""
"Perforin-","NKp30",0.27,0.059,""
"CD107a+Granzyme B+Perforin+","NKp30",-0.38,0.0086,"**"
"CD107a-Granzyme B+Perforin+","NKp30",-0.26,0.08,""
"CD107a-Granzyme B+Perforin-","NKp30",0.08,0.58,""
"CD107a-Granzyme B-Perforin+","NKp30",0.04,0.81,""
"NKG2A+NKG2C-NKG2D+","NKp30",-0.1,0.5,""
"Siglec-7","Perforin",-0.11,0.46,""
"TIGIT","Perforin",-0.25,0.081,""
"TNFa","Perforin",0.03,0.84,""
"CD107a-","Perforin",-0.11,0.46,""
"Granzyme B-","Perforin",-0.99,0,"***"
"NKG2A-","Perforin",-0.1,0.49,""
"NKG2C-","Perforin",0.06,0.69,""
"NKG2D-","Perforin",-0.32,0.026,"*"
"Perforin-","Perforin",-1,0,"***"
"CD107a+Granzyme B+Perforin+","Perforin",0.08,0.57,""
"CD107a-Granzyme B+Perforin+","Perforin",0.99,0,"***"
"CD107a-Granzyme B+Perforin-","Perforin",0.02,0.89,""
"CD107a-Granzyme B-Perforin+","Perforin",0.05,0.74,""
"NKG2A+NKG2C-NKG2D+","Perforin",0.11,0.47,""
"TIGIT","Siglec-7",0.06,0.69,""
"TNFa","Siglec-7",0.09,0.53,""
"CD107a-","Siglec-7",0.09,0.56,""
"Granzyme B-","Siglec-7",0.12,0.43,""
"NKG2A-","Siglec-7",-0.43,0.0023,"**"
"NKG2C-","Siglec-7",0.28,0.05,""
"NKG2D-","Siglec-7",-0.28,0.05,""
"Perforin-","Siglec-7",0.11,0.45,""
"CD107a+Granzyme B+Perforin+","Siglec-7",-0.11,0.46,""
"CD107a-Granzyme B+Perforin+","Siglec-7",-0.09,0.52,""
"CD107a-Granzyme B+Perforin-","Siglec-7",-0.37,0.0097,"**"
"CD107a-Granzyme B-Perforin+","Siglec-7",-0.13,0.39,""
"NKG2A+NKG2C-NKG2D+","Siglec-7",0.43,0.0023,"**"
"TNFa","TIGIT",-0.08,0.58,""
"CD107a-","TIGIT",0.13,0.39,""
"Granzyme B-","TIGIT",0.29,0.046,"*"
"NKG2A-","TIGIT",0.02,0.91,""
"NKG2C-","TIGIT",0.15,0.31,""
"NKG2D-","TIGIT",0.2,0.16,""
"Perforin-","TIGIT",0.26,0.08,""
"CD107a+Granzyme B+Perforin+","TIGIT",-0.12,0.43,""
"CD107a-Granzyme B+Perforin+","TIGIT",-0.28,0.055,""
"CD107a-Granzyme B+Perforin-","TIGIT",0.03,0.84,""
"CD107a-Granzyme B-Perforin+","TIGIT",0.3,0.04,"*"
"NKG2A+NKG2C-NKG2D+","TIGIT",-0.01,0.95,""
"CD107a-","TNFa",0.08,0.6,""
"Granzyme B-","TNFa",-0.03,0.83,""
"NKG2A-","TNFa",-0.28,0.054,""
"NKG2C-","TNFa",-0.17,0.24,""
"NKG2D-","TNFa",-0.11,0.47,""
"Perforin-","TNFa",-0.03,0.84,""
"CD107a+Granzyme B+Perforin+","TNFa",-0.08,0.57,""
"CD107a-Granzyme B+Perforin+","TNFa",0.04,0.78,""
"CD107a-Granzyme B+Perforin-","TNFa",-0.08,0.6,""
"CD107a-Granzyme B-Perforin+","TNFa",-0.07,0.66,""
"NKG2A+NKG2C-NKG2D+","TNFa",0.26,0.079,""
"Granzyme B-","CD107a-",0.12,0.43,""
"NKG2A-","CD107a-",0.14,0.35,""
"NKG2C-","CD107a-",0.12,0.42,""
"NKG2D-","CD107a-",0.21,0.15,""
"Perforin-","CD107a-",0.11,0.47,""
"CD107a+Granzyme B+Perforin+","CD107a-",-0.97,0,"***"
"CD107a-Granzyme B+Perforin+","CD107a-",-0.04,0.76,""
"CD107a-Granzyme B+Perforin-","CD107a-",0.03,0.86,""
"CD107a-Granzyme B-Perforin+","CD107a-",0.05,0.71,""
"NKG2A+NKG2C-NKG2D+","CD107a-",-0.15,0.32,""
"NKG2A-","Granzyme B-",0.09,0.54,""
"NKG2C-","Granzyme B-",-0.04,0.78,""
"NKG2D-","Granzyme B-",0.29,0.048,"*"
"Perforin-","Granzyme B-",0.99,0,"***"
"CD107a+Granzyme B+Perforin+","Granzyme B-",-0.1,0.51,""
"CD107a-Granzyme B+Perforin+","Granzyme B-",-1,0,"***"
"CD107a-Granzyme B+Perforin-","Granzyme B-",-0.08,0.57,""
"CD107a-Granzyme B-Perforin+","Granzyme B-",0.06,0.68,""
"NKG2A+NKG2C-NKG2D+","Granzyme B-",-0.09,0.53,""
"NKG2C-","NKG2A-",-0.04,0.81,""
"NKG2D-","NKG2A-",0.48,6e-04,"***"
"Perforin-","NKG2A-",0.1,0.5,""
"CD107a+Granzyme B+Perforin+","NKG2A-",-0.13,0.39,""
"CD107a-Granzyme B+Perforin+","NKG2A-",-0.1,0.52,""
"CD107a-Granzyme B+Perforin-","NKG2A-",0.38,0.0084,"**"
"CD107a-Granzyme B-Perforin+","NKG2A-",0.05,0.76,""
"NKG2A+NKG2C-NKG2D+","NKG2A-",-1,0,"***"
"NKG2D-","NKG2C-",-0.03,0.85,""
"Perforin-","NKG2C-",-0.06,0.66,""
"CD107a+Granzyme B+Perforin+","NKG2C-",-0.11,0.45,""
"CD107a-Granzyme B+Perforin+","NKG2C-",0.06,0.7,""
"CD107a-Granzyme B+Perforin-","NKG2C-",-0.15,0.3,""
"CD107a-Granzyme B-Perforin+","NKG2C-",0.12,0.4,""
"NKG2A+NKG2C-NKG2D+","NKG2C-",0.06,0.71,""
"Perforin-","NKG2D-",0.33,0.024,"*"
"CD107a+Granzyme B+Perforin+","NKG2D-",-0.15,0.3,""
"CD107a-Granzyme B+Perforin+","NKG2D-",-0.29,0.043,"*"
"CD107a-Granzyme B+Perforin-","NKG2D-",0.47,0.00083,"***"
"CD107a-Granzyme B-Perforin+","NKG2D-",-0.16,0.29,""
"NKG2A+NKG2C-NKG2D+","NKG2D-",-0.49,4e-04,"***"
"CD107a+Granzyme B+Perforin+","Perforin-",-0.08,0.58,""
"CD107a-Granzyme B+Perforin+","Perforin-",-0.99,0,"***"
"CD107a-Granzyme B+Perforin-","Perforin-",-0.01,0.93,""
"CD107a-Granzyme B-Perforin+","Perforin-",-0.05,0.73,""
"NKG2A+NKG2C-NKG2D+","Perforin-",-0.11,0.48,""
"CD107a-Granzyme B+Perforin+","CD107a+Granzyme B+Perforin+",0.03,0.85,""
"CD107a-Granzyme B+Perforin-","CD107a+Granzyme B+Perforin+",0.02,0.9,""
"CD107a-Granzyme B-Perforin+","CD107a+Granzyme B+Perforin+",-0.1,0.5,""
"NKG2A+NKG2C-NKG2D+","CD107a+Granzyme B+Perforin+",0.13,0.36,""
"CD107a-Granzyme B+Perforin-","CD107a-Granzyme B+Perforin+",0.04,0.79,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin+",-0.05,0.76,""
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin+",0.1,0.5,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin-",-0.19,0.19,""
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin-",-0.38,0.0075,"**"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B-Perforin+",-0.03,0.82,""
