"Var1","Var2","r","p","Significance"
"Perforin-","MIP-1B",0.17,0.37,""
"CD107a+Granzyme B+Perforin+","MIP-1B",0.48,0.0068,"**"
"CD107a-Granzyme B+Perforin+","MIP-1B",-0.44,0.014,"*"
"CD107a-Granzyme B+Perforin-","MIP-1B",-0.12,0.53,""
"CD107a-Granzyme B-Perforin+","MIP-1B",0.26,0.16,""
"NKG2A+NKG2C-NKG2D+","MIP-1B",0.25,0.17,""
"NKG2C","NKG2A",-0.12,0.51,""
"NKG2D","NKG2A",0.48,0.0061,"**"
"NKp30","NKG2A",0.11,0.56,""
"Perforin","NKG2A",0.45,0.011,"*"
"Siglec-7","NKG2A",0.41,0.022,"*"
"TIGIT","NKG2A",0,1,""
"TNFa","NKG2A",0.14,0.45,""
"CD107a-","NKG2A",0.12,0.53,""
"Granzyme B-","NKG2A",0,0.99,""
"NKG2A-","NKG2A",-1,0,"***"
"NKG2C-","NKG2A",0.12,0.5,""
"NKG2D-","NKG2A",-0.49,0.0053,"**"
"Perforin-","NKG2A",-0.41,0.023,"*"
"CD107a+Granzyme B+Perforin+","NKG2A",-0.13,0.48,""
"CD107a-Granzyme B+Perforin+","NKG2A",0.16,0.4,""
"CD107a-Granzyme B+Perforin-","NKG2A",-0.38,0.037,"*"
"CD107a-Granzyme B-Perforin+","NKG2A",0.03,0.89,""
"NKG2A+NKG2C-NKG2D+","NKG2A",1,0,"***"
"NKG2D","NKG2C",0,0.99,""
"NKp30","NKG2C",-0.29,0.11,""
"Perforin","NKG2C",-0.1,0.61,""
"Siglec-7","NKG2C",-0.32,0.08,""
"TIGIT","NKG2C",-0.22,0.23,""
"TNFa","NKG2C",0.07,0.7,""
"CD107a-","NKG2C",-0.24,0.19,""
"Granzyme B-","NKG2C",-0.13,0.48,""
"NKG2A-","NKG2C",0.12,0.5,""
"NKG2C-","NKG2C",-1,0,"***"
"NKG2D-","NKG2C",0,1,""
"Perforin-","NKG2C",0.15,0.42,""
"CD107a+Granzyme B+Perforin+","NKG2C",0.22,0.22,""
"CD107a-Granzyme B+Perforin+","NKG2C",-0.05,0.78,""
"CD107a-Granzyme B+Perforin-","NKG2C",0.24,0.19,""
"CD107a-Granzyme B-Perforin+","NKG2C",-0.11,0.57,""
"NKG2A+NKG2C-NKG2D+","NKG2C",-0.14,0.44,""
"NKp30","NKG2D",-0.17,0.37,""
"Perforin","NKG2D",0.49,0.0053,"**"
"Siglec-7","NKG2D",0.33,0.071,""
"TIGIT","NKG2D",-0.34,0.064,""
"TNFa","NKG2D",0.12,0.54,""
"CD107a-","NKG2D",-0.04,0.85,""
"Granzyme B-","NKG2D",0.08,0.67,""
"NKG2A-","NKG2D",-0.48,0.0059,"**"
"NKG2C-","NKG2D",0,1,""
"NKG2D-","NKG2D",-1,0,"***"
"Perforin-","NKG2D",-0.5,0.0045,"**"
"CD107a+Granzyme B+Perforin+","NKG2D",0.01,0.97,""
"CD107a-Granzyme B+Perforin+","NKG2D",0.06,0.74,""
"CD107a-Granzyme B+Perforin-","NKG2D",-0.71,8.2e-06,"***"
"CD107a-Granzyme B-Perforin+","NKG2D",0.09,0.62,""
"NKG2A+NKG2C-NKG2D+","NKG2D",0.48,0.0057,"**"
"Perforin","NKp30",-0.07,0.72,""
"Siglec-7","NKp30",0.4,0.028,"*"
"TIGIT","NKp30",0.63,0.00015,"***"
"TNFa","NKp30",-0.1,0.61,""
"CD107a-","NKp30",0.27,0.14,""
"Granzyme B-","NKp30",0.24,0.2,""
"NKG2A-","NKp30",-0.11,0.57,""
"NKG2C-","NKp30",0.29,0.12,""
"NKG2D-","NKp30",0.17,0.36,""
"Perforin-","NKp30",0.1,0.58,""
"CD107a+Granzyme B+Perforin+","NKp30",-0.26,0.15,""
"CD107a-Granzyme B+Perforin+","NKp30",-0.09,0.62,""
"CD107a-Granzyme B+Perforin-","NKp30",0.08,0.69,""
"CD107a-Granzyme B-Perforin+","NKp30",0.24,0.19,""
"NKG2A+NKG2C-NKG2D+","NKp30",0.11,0.56,""
"Siglec-7","Perforin",0.35,0.052,""
"TIGIT","Perforin",-0.3,0.1,""
"TNFa","Perforin",-0.06,0.73,""
"CD107a-","Perforin",0.22,0.24,""
"Granzyme B-","Perforin",-0.46,0.0088,"**"
"NKG2A-","Perforin",-0.45,0.01,"*"
"NKG2C-","Perforin",0.1,0.6,""
"NKG2D-","Perforin",-0.5,0.0046,"**"
"Perforin-","Perforin",-0.95,4.4e-16,"***"
"CD107a+Granzyme B+Perforin+","Perforin",-0.16,0.38,""
"CD107a-Granzyme B+Perforin+","Perforin",0.67,3.4e-05,"***"
"CD107a-Granzyme B+Perforin-","Perforin",-0.64,0.00012,"***"
"CD107a-Granzyme B-Perforin+","Perforin",-0.42,0.02,"*"
"NKG2A+NKG2C-NKG2D+","Perforin",0.45,0.012,"*"
"TIGIT","Siglec-7",0.27,0.14,""
"TNFa","Siglec-7",-0.03,0.89,""
"CD107a-","Siglec-7",0.37,0.041,"*"
"Granzyme B-","Siglec-7",0.12,0.51,""
"NKG2A-","Siglec-7",-0.41,0.024,"*"
"NKG2C-","Siglec-7",0.32,0.08,""
"NKG2D-","Siglec-7",-0.33,0.067,""
"Perforin-","Siglec-7",-0.27,0.14,""
"CD107a+Granzyme B+Perforin+","Siglec-7",-0.38,0.036,"*"
"CD107a-Granzyme B+Perforin+","Siglec-7",0.17,0.35,""
"CD107a-Granzyme B+Perforin-","Siglec-7",-0.35,0.054,""
"CD107a-Granzyme B-Perforin+","Siglec-7",0.12,0.53,""
"NKG2A+NKG2C-NKG2D+","Siglec-7",0.4,0.027,"*"
"TNFa","TIGIT",-0.07,0.72,""
"CD107a-","TIGIT",0.22,0.24,""
"Granzyme B-","TIGIT",0.35,0.057,""
"NKG2A-","TIGIT",0,0.99,""
"NKG2C-","TIGIT",0.22,0.23,""
"NKG2D-","TIGIT",0.34,0.063,""
"Perforin-","TIGIT",0.34,0.059,""
"CD107a+Granzyme B+Perforin+","TIGIT",-0.23,0.22,""
"CD107a-Granzyme B+Perforin+","TIGIT",-0.23,0.21,""
"CD107a-Granzyme B+Perforin-","TIGIT",0.17,0.35,""
"CD107a-Granzyme B-Perforin+","TIGIT",0.32,0.081,""
"NKG2A+NKG2C-NKG2D+","TIGIT",0.01,0.94,""
"CD107a-","TNFa",-0.03,0.86,""
"Granzyme B-","TNFa",0.08,0.68,""
"NKG2A-","TNFa",-0.14,0.45,""
"NKG2C-","TNFa",-0.07,0.69,""
"NKG2D-","TNFa",-0.11,0.54,""
"Perforin-","TNFa",0.1,0.57,""
"CD107a+Granzyme B+Perforin+","TNFa",0.02,0.91,""
"CD107a-Granzyme B+Perforin+","TNFa",-0.07,0.69,""
"CD107a-Granzyme B+Perforin-","TNFa",-0.12,0.5,""
"CD107a-Granzyme B-Perforin+","TNFa",0.05,0.81,""
"NKG2A+NKG2C-NKG2D+","TNFa",0.13,0.5,""
"Granzyme B-","CD107a-",-0.09,0.63,""
"NKG2A-","CD107a-",-0.12,0.52,""
"NKG2C-","CD107a-",0.24,0.19,""
"NKG2D-","CD107a-",0.04,0.84,""
"Perforin-","CD107a-",-0.22,0.24,""
"CD107a+Granzyme B+Perforin+","CD107a-",-0.98,0,"***"
"CD107a-Granzyme B+Perforin+","CD107a-",0.54,0.0019,"**"
"CD107a-Granzyme B+Perforin-","CD107a-",-0.22,0.22,""
"CD107a-Granzyme B-Perforin+","CD107a-",-0.09,0.65,""
"NKG2A+NKG2C-NKG2D+","CD107a-",0.11,0.55,""
"NKG2A-","Granzyme B-",0,0.99,""
"NKG2C-","Granzyme B-",0.13,0.48,""
"NKG2D-","Granzyme B-",-0.07,0.71,""
"Perforin-","Granzyme B-",0.46,0.0089,"**"
"CD107a+Granzyme B+Perforin+","Granzyme B-",0.05,0.8,""
"CD107a-Granzyme B+Perforin+","Granzyme B-",-0.86,8.8e-10,"***"
"CD107a-Granzyme B+Perforin-","Granzyme B-",-0.19,0.31,""
"CD107a-Granzyme B-Perforin+","Granzyme B-",0.99,0,"***"
"NKG2A+NKG2C-NKG2D+","Granzyme B-",0.01,0.98,""
"NKG2C-","NKG2A-",-0.12,0.5,""
"NKG2D-","NKG2A-",0.49,0.0051,"**"
"Perforin-","NKG2A-",0.41,0.022,"*"
"CD107a+Granzyme B+Perforin+","NKG2A-",0.13,0.47,""
"CD107a-Granzyme B+Perforin+","NKG2A-",-0.16,0.4,""
"CD107a-Granzyme B+Perforin-","NKG2A-",0.38,0.036,"*"
"CD107a-Granzyme B-Perforin+","NKG2A-",-0.02,0.89,""
"NKG2A+NKG2C-NKG2D+","NKG2A-",-1,0,"***"
"NKG2D-","NKG2C-",0,0.99,""
"Perforin-","NKG2C-",-0.15,0.42,""
"CD107a+Granzyme B+Perforin+","NKG2C-",-0.23,0.22,""
"CD107a-Granzyme B+Perforin+","NKG2C-",0.05,0.78,""
"CD107a-Granzyme B+Perforin-","NKG2C-",-0.24,0.19,""
"CD107a-Granzyme B-Perforin+","NKG2C-",0.11,0.57,""
"NKG2A+NKG2C-NKG2D+","NKG2C-",0.14,0.44,""
"Perforin-","NKG2D-",0.5,0.0039,"**"
"CD107a+Granzyme B+Perforin+","NKG2D-",-0.01,0.97,""
"CD107a-Granzyme B+Perforin+","NKG2D-",-0.07,0.71,""
"CD107a-Granzyme B+Perforin-","NKG2D-",0.71,7.9e-06,"***"
"CD107a-Granzyme B-Perforin+","NKG2D-",-0.08,0.65,""
"NKG2A+NKG2C-NKG2D+","NKG2D-",-0.49,0.0049,"**"
"CD107a+Granzyme B+Perforin+","Perforin-",0.18,0.33,""
"CD107a-Granzyme B+Perforin+","Perforin-",-0.65,6.6e-05,"***"
"CD107a-Granzyme B+Perforin-","Perforin-",0.65,6.5e-05,"***"
"CD107a-Granzyme B-Perforin+","Perforin-",0.41,0.022,"*"
"NKG2A+NKG2C-NKG2D+","Perforin-",-0.41,0.023,"*"
"CD107a-Granzyme B+Perforin+","CD107a+Granzyme B+Perforin+",-0.48,0.006,"**"
"CD107a-Granzyme B+Perforin-","CD107a+Granzyme B+Perforin+",0.2,0.27,""
"CD107a-Granzyme B-Perforin+","CD107a+Granzyme B+Perforin+",0.04,0.82,""
"NKG2A+NKG2C-NKG2D+","CD107a+Granzyme B+Perforin+",-0.12,0.52,""
"CD107a-Granzyme B+Perforin-","CD107a-Granzyme B+Perforin+",-0.13,0.47,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin+",-0.84,3.5e-09,"***"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin+",0.15,0.42,""
"CD107a-Granzyme B-Perforin+","CD107a-Granzyme B+Perforin-",-0.22,0.24,""
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B+Perforin-",-0.38,0.035,"*"
"NKG2A+NKG2C-NKG2D+","CD107a-Granzyme B-Perforin+",0.03,0.88,""
